dataset,model,seed,context_pct,attack,auc,source
locations,tabdpt,4,30.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx30/report/exp/attention_summary.csv
locations,tabdpt,5,30.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx30/report/exp/attention_summary.csv
locations,tabdpt,1,40.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx40/report/exp/attention_summary.csv
locations,tabdpt,2,40.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx40/report/exp/attention_summary.csv
locations,tabdpt,3,40.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx40/report/exp/attention_summary.csv
locations,tabdpt,4,40.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx40/report/exp/attention_summary.csv
locations,tabdpt,5,40.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx40/report/exp/attention_summary.csv
locations,tabdpt,1,50.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx50/report/exp/attention_summary.csv
locations,tabdpt,2,50.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx50/report/exp/attention_summary.csv
locations,tabdpt,3,50.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx50/report/exp/attention_summary.csv
locations,tabdpt,4,50.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx50/report/exp/attention_summary.csv
locations,tabdpt,5,50.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx50/report/exp/attention_summary.csv
locations,tabdpt,1,60.0,AMIA row_max,0.9999391233766234,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx60/report/exp/attention_summary.csv
locations,tabdpt,2,60.0,AMIA row_max,0.9994453463203463,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx60/report/exp/attention_summary.csv
